Framlög til sveitarfélaga 2006-2014  ,,
,,
Ár,Sveitarfélag,Framlög á íbúa Alls
2012,Flóahreppur,274249
2013,Reykjavíkurborg,27059
2013,Kópavogsbær,18580
2013,Seltjarnarneskaupstaður,36366
2013,Garðabær,56204
2013,Hafnarfjarðarkaupstaður,32307
2013,Sveitarfélagið Álftanes,0
2013,Mosfellsbær,55716
2013,Kjósarhreppur,41770
2013,Reykjanesbær,110859
2013,Grindavíkurbær,128183
2013,Sandgerðisbær,109104
2013,Sveitarfélagið Garður,212928
2013,Sveitarfélagið Vogar,255328
2013,Akraneskaupstaður,84932
2013,Hvalfjarðarstrandarhreppur,.
2013,Skilmannahreppur,.
2013,Innri-Akraneshreppur,.
2013,Leirár- og Melahreppur,.
2013,Skorradalshreppur,15335
2013,Borgarfjarðarsveit,.
2013,Hvalfjarðarsveit,7171
2013,Hvítársíðuhreppur,.
2013,Borgarbyggð,197064
2013,Kolbeinsstaðahreppur,.
2013,Grundarfjarðarbær,150865
2013,Helgafellssveit,168356
2013,Stykkishólmsbær,140922
2013,Eyja- og Miklaholtshreppur,209083
2013,Snæfellsbær,190470
2013,Saurbæjarhreppur,.
2013,Dalabyggð,337092
2013,Bolungarvíkurkaupstaður,168850
2013,Ísafjarðarbær,166279
2013,Reykhólahreppur,375169
2013,Tálknafjarðarhreppur,275249
2013,Vesturbyggð,235410
2013,Súðavíkurhreppur,510584
2013,Árneshreppur,264139
2013,Kaldrananeshreppur,301173
2013,Bæjarhreppur,.
2013,Broddaneshreppur,.
2013,Hólmavíkurhreppur,.
2013,Strandabyggð,359917
2013,Siglufjarðarkaupstaður,.
2013,Sveitarfélagið Skagafjörður,167632
2013,Húnaþing vestra,352770
2013,Áshreppur,.
2013,Blönduóssbær,210868
2013,Sveitarfélagið Skagaströnd,173010
2013,Skagabyggð,356513
2013,Húnavatnshreppur,256978
2013,Akrahreppur,319671
2013,Akureyrarkaupstaður,67889
2013,Húsavíkurbær (Norðurþing),166016
